date,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,events,wind_dir_degrees,zip_code
9/12/2013,71.0,65.0,59.0,58.0,57.0,55.0,84.0,73.0,61.0,29.99,29.95,29.91,10.0,10.0,9.0,25.0,11.0,30.0,0,7.0,Fog,268.0,94107
9/13/2013,66.0,62.0,57.0,55.0,54.0,54.0,93.0,80.0,67.0,29.92,29.87,29.8,10.0,10.0,7.0,30.0,15.0,37.0,0,6.0,,271.0,94107
9/14/2013,66.0,62.0,57.0,55.0,54.0,53.0,87.0,77.0,67.0,29.86,29.81,29.77,10.0,10.0,9.0,25.0,16.0,33.0,0,7.0,,265.0,94107
9/15/2013,73.0,66.0,58.0,59.0,55.0,52.0,90.0,72.0,53.0,29.88,29.85,29.81,10.0,10.0,6.0,23.0,13.0,26.0,0,5.0,,276.0,94107
9/16/2013,71.0,65.0,59.0,58.0,55.0,53.0,90.0,74.0,57.0,29.91,29.87,29.81,10.0,10.0,6.0,31.0,16.0,39.0,0,3.0,,274.0,94107
9/17/2013,68.0,63.0,57.0,55.0,53.0,50.0,86.0,72.0,58.0,29.91,29.87,29.84,10.0,10.0,10.0,39.0,22.0,51.0,0,3.0,,270.0,94107
9/18/2013,78.0,66.0,54.0,55.0,49.0,47.0,78.0,60.0,41.0,29.92,29.88,29.85,10.0,10.0,10.0,25.0,10.0,30.0,0,1.0,,278.0,94107
9/19/2013,80.0,67.0,54.0,56.0,50.0,46.0,77.0,58.0,38.0,29.87,29.82,29.76,10.0,10.0,10.0,26.0,10.0,33.0,0,0.0,,297.0,94107
9/20/2013,73.0,65.0,56.0,59.0,56.0,50.0,87.0,70.0,53.0,29.88,29.84,29.79,10.0,10.0,9.0,17.0,10.0,23.0,0,6.0,,248.0,94107
9/21/2013,68.0,63.0,58.0,59.0,56.0,53.0,90.0,75.0,59.0,29.91,29.85,29.82,10.0,9.0,2.0,24.0,12.0,28.0,0.23,6.0,Rain,218.0,94107
9/22/2013,70.0,63.0,55.0,55.0,53.0,49.0,93.0,70.0,47.0,30.02,29.97,29.92,10.0,10.0,10.0,29.0,10.0,35.0,0,1.0,,292.0,94107
9/23/2013,78.0,68.0,57.0,58.0,54.0,50.0,78.0,64.0,50.0,30.03,29.99,29.95,10.0,10.0,10.0,24.0,9.0,30.0,0,0.0,,294.0,94107
9/24/2013,71.0,65.0,58.0,54.0,52.0,50.0,78.0,66.0,53.0,30.01,29.97,29.93,10.0,10.0,10.0,36.0,19.0,43.0,0,1.0,,277.0,94107
9/25/2013,67.0,62.0,56.0,51.0,47.0,45.0,83.0,64.0,45.0,29.95,29.91,29.84,10.0,10.0,10.0,35.0,20.0,45.0,0,1.0,,281.0,94107
9/26/2013,71.0,62.0,53.0,46.0,43.0,38.0,72.0,53.0,33.0,29.99,29.92,29.85,10.0,10.0,10.0,24.0,11.0,29.0,0,0.0,,281.0,94107
9/27/2013,78.0,66.0,54.0,47.0,41.0,34.0,67.0,46.0,25.0,30.11,30.06,30.0,10.0,10.0,10.0,23.0,7.0,28.0,0,0.0,,279.0,94107
9/28/2013,78.0,66.0,53.0,55.0,48.0,38.0,84.0,60.0,35.0,30.1,30.06,30.02,10.0,10.0,10.0,28.0,9.0,32.0,0,1.0,,296.0,94107
9/29/2013,75.0,66.0,57.0,59.0,56.0,53.0,87.0,70.0,53.0,30.11,30.09,30.06,10.0,10.0,10.0,16.0,7.0,21.0,0,3.0,,253.0,94107
9/30/2013,73.0,66.0,59.0,60.0,57.0,43.0,87.0,69.0,51.0,30.07,30.03,29.98,10.0,10.0,10.0,22.0,10.0,26.0,T,4.0,Fog,264.0,94107
10/1/2013,69.0,63.0,56.0,50.0,48.0,46.0,77.0,61.0,45.0,30.03,29.98,29.94,10.0,10.0,10.0,22.0,13.0,26.0,0,3.0,,273.0,94107
10/2/2013,69.0,62.0,54.0,49.0,46.0,44.0,77.0,61.0,45.0,30.02,29.98,29.94,10.0,10.0,10.0,29.0,14.0,35.0,0,2.0,,280.0,94107
10/3/2013,70.0,62.0,54.0,44.0,41.0,35.0,66.0,47.0,28.0,30.09,30.02,29.96,10.0,10.0,10.0,25.0,13.0,30.0,0,0.0,,294.0,94107
10/4/2013,76.0,69.0,61.0,51.0,42.0,28.0,53.0,38.0,22.0,30.1,30.05,29.98,10.0,10.0,10.0,22.0,9.0,25.0,0,0.0,,13.0,94107
10/5/2013,80.0,69.0,57.0,52.0,36.0,24.0,56.0,36.0,15.0,30.2,30.14,30.1,10.0,10.0,10.0,12.0,5.0,13.0,0,0.0,,122.0,94107
10/6/2013,83.0,70.0,56.0,52.0,44.0,27.0,66.0,40.0,13.0,30.13,30.07,30.0,10.0,10.0,10.0,14.0,5.0,15.0,0.01,4.0,,345.0,94107
10/7/2013,80.0,68.0,56.0,49.0,41.0,31.0,72.0,46.0,19.0,30.0,29.95,29.89,10.0,10.0,10.0,28.0,9.0,31.0,0,3.0,,295.0,94107
10/8/2013,72.0,62.0,52.0,50.0,47.0,44.0,77.0,59.0,41.0,29.92,29.84,29.74,10.0,10.0,10.0,20.0,10.0,24.0,0,2.0,,278.0,94107
10/9/2013,68.0,60.0,52.0,48.0,45.0,39.0,83.0,60.0,37.0,29.77,29.69,29.64,10.0,10.0,10.0,17.0,8.0,21.0,0,2.0,,286.0,94107
10/10/2013,70.0,62.0,53.0,52.0,47.0,43.0,77.0,61.0,45.0,30.02,29.91,29.77,10.0,10.0,10.0,13.0,5.0,15.0,0,1.0,,302.0,94107
10/11/2013,63.0,57.0,51.0,49.0,47.0,45.0,83.0,70.0,56.0,30.09,30.04,30.0,10.0,10.0,10.0,25.0,9.0,30.0,0,4.0,,275.0,94107
10/12/2013,64.0,56.0,47.0,50.0,46.0,42.0,89.0,71.0,53.0,30.02,29.98,29.91,10.0,8.0,0.0,32.0,13.0,40.0,0,3.0,Fog,252.0,94107
10/13/2013,73.0,62.0,51.0,51.0,47.0,40.0,89.0,60.0,31.0,30.07,30.01,29.94,10.0,10.0,10.0,22.0,7.0,26.0,0,1.0,,286.0,94107
10/14/2013,77.0,64.0,51.0,50.0,41.0,36.0,71.0,49.0,27.0,30.12,30.06,30.01,10.0,10.0,10.0,18.0,5.0,,0,0.0,,272.0,94107
10/15/2013,80.0,67.0,53.0,50.0,37.0,31.0,61.0,40.0,18.0,30.05,30.01,29.96,10.0,10.0,10.0,21.0,5.0,22.0,0,0.0,,294.0,94107
10/16/2013,80.0,67.0,53.0,54.0,42.0,32.0,63.0,41.0,19.0,30.09,30.05,30.0,10.0,10.0,10.0,13.0,4.0,14.0,0,1.0,,305.0,94107
10/17/2013,81.0,68.0,54.0,53.0,45.0,35.0,72.0,56.0,39.0,30.09,30.03,29.97,10.0,10.0,10.0,20.0,7.0,24.0,0,0.0,,306.0,94107
10/18/2013,68.0,60.0,51.0,52.0,48.0,46.0,83.0,66.0,48.0,30.06,30.02,29.99,10.0,10.0,10.0,23.0,10.0,25.0,0,1.0,,294.0,94107
10/19/2013,74.0,62.0,49.0,52.0,48.0,45.0,86.0,65.0,44.0,30.09,30.04,30.0,10.0,10.0,10.0,21.0,9.0,23.0,0,0.0,,301.0,94107
10/20/2013,64.0,57.0,49.0,52.0,47.0,45.0,93.0,77.0,60.0,30.03,29.99,29.92,10.0,8.0,0.0,22.0,11.0,26.0,0,2.0,Fog,290.0,94107
10/21/2013,61.0,55.0,48.0,50.0,47.0,45.0,93.0,80.0,67.0,30.03,29.98,29.93,10.0,10.0,7.0,21.0,9.0,25.0,0,3.0,,284.0,94107
10/22/2013,64.0,56.0,47.0,51.0,48.0,46.0,100.0,82.0,64.0,30.03,29.99,29.93,10.0,5.0,0.0,21.0,10.0,25.0,0,5.0,Fog,281.0,94107
10/23/2013,61.0,55.0,49.0,51.0,48.0,46.0,93.0,83.0,72.0,30.0,29.96,29.91,10.0,7.0,2.0,23.0,9.0,28.0,0,6.0,Fog,282.0,94107
10/24/2013,60.0,57.0,53.0,48.0,47.0,45.0,83.0,73.0,62.0,30.12,30.05,29.99,10.0,10.0,8.0,15.0,9.0,20.0,0,6.0,,269.0,94107
10/25/2013,67.0,59.0,50.0,50.0,47.0,45.0,86.0,69.0,52.0,30.18,30.13,30.09,10.0,10.0,10.0,21.0,9.0,24.0,0,4.0,,263.0,94107
10/26/2013,70.0,60.0,49.0,53.0,48.0,43.0,89.0,67.0,44.0,30.15,30.09,30.02,10.0,10.0,10.0,22.0,9.0,25.0,0,1.0,Fog,292.0,94107
10/27/2013,60.0,55.0,50.0,49.0,47.0,45.0,89.0,76.0,62.0,30.04,29.9,29.69,10.0,10.0,10.0,43.0,18.0,51.0,T,6.0,Rain,267.0,94107
10/28/2013,61.0,57.0,52.0,48.0,46.0,44.0,83.0,69.0,55.0,29.86,29.75,29.69,10.0,10.0,10.0,36.0,15.0,43.0,0,5.0,,263.0,94107
10/29/2013,63.0,58.0,52.0,48.0,45.0,42.0,83.0,66.0,48.0,30.06,29.97,29.87,10.0,10.0,10.0,17.0,7.0,21.0,0,4.0,,256.0,94107
10/30/2013,65.0,57.0,48.0,50.0,45.0,42.0,83.0,66.0,48.0,30.16,30.11,30.07,10.0,10.0,10.0,18.0,7.0,22.0,0,2.0,,286.0,94107
10/31/2013,70.0,59.0,48.0,51.0,43.0,38.0,71.0,54.0,37.0,30.19,30.13,30.08,10.0,10.0,10.0,14.0,4.0,,0,0.0,,300.0,94107
11/1/2013,74.0,63.0,51.0,53.0,45.0,41.0,77.0,57.0,37.0,30.14,30.08,30.01,10.0,10.0,10.0,15.0,4.0,18.0,0,0.0,,315.0,94107
11/2/2013,63.0,57.0,50.0,51.0,47.0,41.0,89.0,73.0,56.0,30.03,29.99,29.93,10.0,9.0,2.0,28.0,13.0,33.0,0,3.0,,284.0,94107
11/3/2013,63.0,55.0,47.0,45.0,41.0,34.0,77.0,56.0,34.0,30.06,29.99,29.94,10.0,10.0,10.0,22.0,9.0,24.0,0,4.0,,277.0,94107
11/4/2013,67.0,56.0,44.0,43.0,39.0,32.0,80.0,56.0,31.0,30.07,30.0,29.94,10.0,10.0,10.0,23.0,9.0,28.0,0,0.0,,286.0,94107
11/5/2013,71.0,61.0,50.0,45.0,38.0,29.0,66.0,44.0,22.0,30.22,30.16,30.08,10.0,10.0,10.0,15.0,4.0,17.0,0,1.0,,279.0,94107
11/6/2013,70.0,61.0,51.0,49.0,42.0,36.0,72.0,52.0,31.0,30.26,30.21,30.16,10.0,10.0,9.0,5.0,0.0,6.0,0,5.0,,68.0,94107
11/7/2013,71.0,64.0,56.0,51.0,46.0,40.0,80.0,61.0,42.0,30.18,30.13,30.09,10.0,10.0,9.0,22.0,8.0,26.0,0,4.0,,284.0,94107
11/8/2013,70.0,60.0,50.0,53.0,48.0,40.0,100.0,72.0,43.0,30.1,30.05,29.98,10.0,7.0,0.0,24.0,8.0,26.0,0,2.0,Fog,269.0,94107
11/9/2013,66.0,57.0,48.0,53.0,47.0,40.0,80.0,64.0,48.0,30.05,30.01,29.97,10.0,10.0,9.0,12.0,3.0,14.0,0,1.0,,334.0,94107
11/10/2013,64.0,58.0,51.0,51.0,48.0,45.0,83.0,72.0,60.0,30.13,30.09,30.04,10.0,10.0,9.0,13.0,5.0,16.0,0,3.0,,269.0,94107
11/11/2013,62.0,58.0,54.0,51.0,49.0,46.0,83.0,72.0,60.0,30.17,30.13,30.09,10.0,9.0,6.0,12.0,5.0,15.0,0,7.0,,76.0,94107
11/12/2013,70.0,64.0,57.0,53.0,50.0,46.0,77.0,62.0,47.0,30.27,30.23,30.17,10.0,10.0,10.0,18.0,7.0,22.0,T,4.0,,312.0,94107
11/13/2013,68.0,60.0,52.0,55.0,51.0,47.0,93.0,77.0,60.0,30.25,30.18,30.12,10.0,10.0,9.0,23.0,8.0,26.0,0,3.0,Fog,303.0,94107
11/14/2013,61.0,56.0,51.0,52.0,49.0,45.0,96.0,84.0,71.0,30.13,30.03,29.9,10.0,10.0,8.0,29.0,13.0,37.0,0,5.0,,266.0,94107
11/15/2013,65.0,58.0,50.0,46.0,44.0,41.0,83.0,66.0,48.0,29.89,29.82,29.76,10.0,10.0,10.0,35.0,12.0,40.0,0,1.0,,268.0,94107
11/16/2013,62.0,56.0,49.0,50.0,46.0,42.0,83.0,67.0,51.0,29.94,29.86,29.79,10.0,10.0,10.0,26.0,14.0,35.0,0,2.0,,273.0,94107
11/17/2013,63.0,56.0,49.0,49.0,45.0,42.0,89.0,69.0,48.0,30.1,30.03,29.94,10.0,10.0,10.0,13.0,6.0,16.0,0,4.0,,245.0,94107
11/18/2013,60.0,53.0,46.0,46.0,44.0,40.0,82.0,69.0,55.0,30.16,30.12,30.1,10.0,10.0,10.0,15.0,5.0,18.0,0,5.0,,199.0,94107
11/19/2013,61.0,58.0,54.0,55.0,50.0,45.0,93.0,80.0,66.0,30.1,30.03,29.95,10.0,9.0,6.0,14.0,7.0,16.0,0.28,7.0,Rain,131.0,94107
11/20/2013,59.0,55.0,51.0,56.0,53.0,47.0,93.0,90.0,86.0,29.94,29.9,29.85,10.0,9.0,4.0,22.0,7.0,24.0,0.63,7.0,Rain,239.0,94107
11/21/2013,62.0,56.0,50.0,49.0,42.0,32.0,93.0,64.0,35.0,29.99,29.94,29.91,10.0,10.0,9.0,32.0,11.0,39.0,T,5.0,Rain,349.0,94107
11/22/2013,69.0,63.0,57.0,39.0,32.0,25.0,40.0,30.0,19.0,30.03,29.97,29.91,10.0,10.0,10.0,26.0,14.0,32.0,0,1.0,,47.0,94107
11/23/2013,65.0,58.0,50.0,45.0,38.0,31.0,71.0,50.0,28.0,30.11,30.04,29.97,10.0,10.0,10.0,22.0,5.0,32.0,0,0.0,,79.0,94107
11/24/2013,60.0,53.0,45.0,49.0,43.0,39.0,86.0,70.0,53.0,30.26,30.19,30.12,10.0,10.0,10.0,9.0,3.0,10.0,0,0.0,,319.0,94107
11/25/2013,61.0,53.0,44.0,46.0,43.0,38.0,86.0,70.0,53.0,30.33,30.28,30.25,10.0,10.0,9.0,7.0,2.0,10.0,0,1.0,,180.0,94107
11/26/2013,62.0,55.0,47.0,47.0,44.0,39.0,86.0,65.0,43.0,30.27,30.16,30.04,10.0,9.0,6.0,7.0,2.0,8.0,0,5.0,,100.0,94107
11/27/2013,62.0,55.0,48.0,49.0,45.0,41.0,86.0,69.0,52.0,30.03,29.92,29.85,10.0,9.0,7.0,7.0,1.0,7.0,0,5.0,,137.0,94107
11/28/2013,66.0,58.0,49.0,51.0,44.0,37.0,83.0,64.0,44.0,30.08,29.96,29.88,10.0,9.0,7.0,16.0,4.0,18.0,0,3.0,,280.0,94107
11/29/2013,62.0,54.0,46.0,51.0,45.0,38.0,77.0,70.0,63.0,30.22,30.15,30.09,10.0,10.0,9.0,24.0,3.0,28.0,0,0.0,Fog,316.0,94107
11/30/2013,63.0,54.0,45.0,51.0,47.0,41.0,93.0,79.0,65.0,30.28,30.25,30.19,10.0,6.0,0.0,15.0,4.0,20.0,0,3.0,Fog,303.0,94107
12/1/2013,67.0,57.0,46.0,50.0,46.0,41.0,86.0,66.0,46.0,30.35,30.27,30.22,10.0,10.0,9.0,14.0,4.0,16.0,0,1.0,,308.0,94107
12/2/2013,62.0,54.0,46.0,54.0,49.0,44.0,96.0,80.0,64.0,30.22,30.1,29.99,10.0,8.0,0.0,33.0,14.0,38.0,T,5.0,Fog-Rain,277.0,94107
12/3/2013,56.0,51.0,46.0,54.0,38.0,25.0,93.0,69.0,45.0,29.98,29.92,29.87,10.0,10.0,4.0,24.0,14.0,31.0,0,4.0,,285.0,94107
12/4/2013,52.0,46.0,39.0,31.0,26.0,21.0,62.0,46.0,30.0,30.09,30.04,29.96,10.0,10.0,10.0,14.0,5.0,16.0,0,0.0,,309.0,94107
12/5/2013,51.0,43.0,35.0,31.0,24.0,18.0,64.0,45.0,26.0,30.18,30.14,30.09,10.0,10.0,10.0,12.0,4.0,14.0,0,0.0,,196.0,94107
